current,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle,device,num_workers,normalize
Train,10,1,0.989901194969813,0.6970333333333333,4.808567523956299,6.043835401535034,0.001,1000,True,cuda,1,no_normal
Train,10,2,0.45285410235325496,0.8320833333333333,4.610411167144775,10.836116313934326,0.001,1000,True,cuda,1,no_normal
Train,10,3,0.36258695224920906,0.8670833333333333,4.642384052276611,15.659154415130615,0.001,1000,True,cuda,1,no_normal
Train,10,4,0.3251277029514313,0.8804166666666666,4.567441940307617,20.4120192527771,0.001,1000,True,cuda,1,no_normal
Train,10,5,0.3013627509276072,0.8891333333333333,4.730342864990234,25.338793992996216,0.001,1000,True,cuda,1,no_normal
Test,10,1,0.5071019232273102,0.8162,1.580324649810791,27.099022150039673,,1000,True,cuda,1,normal
Train,10,6,0.28626555303732554,0.8938166666666667,4.667546987533569,31.852225065231323,0.001,1000,True,cuda,1,no_normal
Train,10,7,0.27033689866463345,0.9007166666666667,4.5524585247039795,36.60127544403076,0.001,1000,True,cuda,1,no_normal
Train,10,8,0.25836466724673907,0.9037666666666667,4.572452783584595,41.35394859313965,0.001,1000,True,cuda,1,no_normal
Train,10,9,0.24853585039575896,0.90805,4.6668784618377686,46.2246208190918,0.001,1000,True,cuda,1,no_normal
Train,10,10,0.23813936586181322,0.9118,4.620420455932617,51.04354977607727,0.001,1000,True,cuda,1,no_normal
Test,10,2,0.5503532648086548,0.8161,1.6240570545196533,52.83783459663391,,1000,True,cuda,1,normal
Train,10,11,0.23184164837002755,0.9138666666666667,4.588435888290405,57.530195474624634,0.001,1000,True,cuda,1,no_normal
Train,10,12,0.22585429723064104,0.9154666666666667,4.651393890380859,62.388920307159424,0.001,1000,True,cuda,1,no_normal
Train,10,13,0.21783531059821445,0.9196833333333333,4.647398471832275,67.23866868019104,0.001,1000,True,cuda,1,no_normal
Train,10,14,0.2126293073097865,0.9210166666666667,4.594491720199585,72.02257180213928,0.001,1000,True,cuda,1,no_normal
Train,10,15,0.20566908891002336,0.92335,4.6334006786346436,76.87861061096191,0.001,1000,True,cuda,1,no_normal
Test,10,3,0.5731921076774598,0.8192,1.5921006202697754,78.67285871505737,,1000,True,cuda,1,normal
Train,10,16,0.2026676227649053,0.92345,4.642231464385986,83.39504981040955,0.001,1000,True,cuda,1,no_normal
Train,10,17,0.196182968467474,0.9273666666666667,4.6263587474823,88.22642374038696,0.001,1000,True,cuda,1,no_normal
Train,10,18,0.1914241909980774,0.9293666666666667,4.880728483200073,93.30114555358887,0.001,1000,True,cuda,1,no_normal
Train,10,19,0.18399943684538206,0.9320666666666667,4.854262828826904,98.37026333808899,0.001,1000,True,cuda,1,no_normal
Train,10,20,0.18088853508234023,0.93325,4.711380243301392,103.25155258178711,0.001,1000,True,cuda,1,no_normal
Test,10,4,0.6695221960544586,0.805,1.5562336444854736,105.01446652412415,,1000,True,cuda,1,normal
Train,11,1,1.0435419668753942,0.67275,6.666398048400879,8.013551235198975,0.001,1000,False,cuda,1,normal
Train,11,2,0.4519439354538918,0.8372,6.9046950340271,15.113797426223755,0.001,1000,False,cuda,1,normal
Train,11,3,0.3609357843796412,0.8682666666666666,6.633376121520996,21.925398588180542,0.001,1000,False,cuda,1,normal
Train,11,4,0.3216346899668376,0.8831333333333333,6.570523500442505,28.694629192352295,0.001,1000,False,cuda,1,normal
Train,11,5,0.29707393745581306,0.8915666666666666,6.6003124713897705,35.511066913604736,0.001,1000,False,cuda,1,normal
Test,11,1,0.33323665261268615,0.8773,1.6101016998291016,37.31937551498413,,1000,True,cuda,1,normal
Train,11,6,0.27918938199679055,0.8986,6.620824098587036,44.048869609832764,0.001,1000,False,cuda,1,normal
Train,11,7,0.26496347536643344,0.9044333333333333,6.622171640396118,50.856186628341675,0.001,1000,False,cuda,1,normal
Train,11,8,0.25283613726496695,0.90815,6.576272010803223,57.61462473869324,0.001,1000,False,cuda,1,normal
Train,11,9,0.24276158437132836,0.91155,6.627784729003906,64.4556519985199,0.001,1000,False,cuda,1,normal
Train,11,10,0.2331959550579389,0.9148,6.671680688858032,71.30266690254211,0.001,1000,False,cuda,1,normal
